Species,Size (inches),Camera ID,Tank Position,SS,FileName,Trial,Experiment Start,Filming Start,Temperature,Conductivity,pH
LF,1.5,Cichlid2_1,A1,,Cichlid2_04132022_1,1,04/13/2022,04/14/2022,27.6,329,8.39
LT,0.5,Cichlid2_1,B1,,Cichlid2_04132022_1,1,04/13/2022,04/14/2022,27.6,329,8.39
LT,0.5,Cichlid2_1,B2,,Cichlid2_04132022_1,1,04/13/2022,04/14/2022,27.6,329,8.39
LT,0.5,Cichlid1_1,C1,,Cichlid1_04132022_1,1,04/13/2022,04/14/2022,27.6,329,8.39
LT,0.5,Cichlid1_1,C2,,Cichlid1_04132022_1,1,04/13/2022,04/14/2022,27.6,329,8.39
LT,0.5,Cichlid1_1,D1,,Cichlid1_04132022_1,1,04/13/2022,04/14/2022,27.6,329,8.39
LT,0.5,Cichlid1_1,D2,,Cichlid1_04132022_1,1,04/13/2022,04/14/2022,27.6,329,8.39
TRC,2.5,Cichlid2_1,A1,,Cichlid2_04152022_1,2,04/15/2022,04/16/2022,26.3,315,8.32
TRC,2.5,Cichlid2_1,B1,,Cichlid2_04152022_1,2,04/15/2022,04/16/2022,26.3,315,8.32
TRC,2.5,Cichlid2_1,B2,,Cichlid2_04152022_1,2,04/15/2022,04/16/2022,26.3,315,8.32
TRC,2.5,Cichlid1_1,C1,,Cichlid1_04152022_1,2,04/15/2022,04/16/2022,26.3,315,8.32
TRC,2.5,Cichlid1_1,C2,,Cichlid1_04152022_1,2,04/15/2022,04/16/2022,26.3,315,8.32
TRC,2.5,Cichlid1_1,D1,,Cichlid1_04152022_1,2,04/15/2022,04/16/2022,26.3,315,8.32
TRC,2.5,Cichlid1_1,D2,,Cichlid1_04152022_1,2,04/15/2022,04/16/2022,26.3,315,8.32
LF,2.5,Cichlid2_1,A1,,Cichlid2_04182022_1,3,04/18/2022,04/19/2022,27.2,307,8.32
LF,1.5,Cichlid2_1,B1,,Cichlid2_04182022_1,3,04/18/2022,04/19/2022,27.2,307,8.32
LF,1.5,Cichlid2_1,B2,,Cichlid2_04182022_1,3,04/18/2022,04/19/2022,27.2,307,8.32
LF,2.5,Cichlid1_1,C1,,Cichlid1_04182022_1,3,04/18/2022,04/19/2022,27.2,307,8.32
OBRC,1.5,Cichlid1_1,C2,,Cichlid1_04182022_1,3,04/18/2022,04/19/2022,27.2,307,8.32
OBRC,1.5,Cichlid1_1,D1,,Cichlid1_04182022_1,3,04/18/2022,04/19/2022,27.2,307,8.32
OBRC,1.5,Cichlid1_1,D2,,Cichlid1_04182022_1,3,04/18/2022,04/19/2022,27.2,307,8.32
LT,1,Cichlid2_1,A1,,Cichlid2_04222022_1,4,04/22/2022,04/23/2022,27.5,332,8.41
LT,1,Cichlid2_1,B1,,Cichlid2_04222022_1,4,04/22/2022,04/23/2022,27.5,332,8.41
LT,1.5,Cichlid2_1,B2,,Cichlid2_04222022_1,4,04/22/2022,04/23/2022,27.5,332,8.41
LT,1.5,Cichlid1_1,C1,,Cichlid1_04222022_1,4,04/22/2022,04/23/2022,27.5,332,8.41
LT,1.5,Cichlid1_1,C2,,Cichlid1_04222022_1,4,04/22/2022,04/23/2022,27.5,332,8.41
LT,1,Cichlid1_1,D1,,Cichlid1_04222022_1,4,04/22/2022,04/23/2022,27.5,332,8.41
LT,1,Cichlid1_1,D2,,Cichlid1_04222022_1,4,04/22/2022,04/23/2022,27.5,332,8.41
LT,1.5,Cichlid2_1,A1,,Cichlid2_04242022_1,5,04/24/2022,04/25/2022,27.4,315,8.33
LT,1.5,Cichlid2_1,B1,,Cichlid2_04242022_1,5,04/24/2022,04/25/2022,27.4,315,8.33
LT,1,Cichlid2_1,B2,,Cichlid2_04242022_1,5,04/24/2022,04/25/2022,27.4,315,8.33
LT,1.5,Cichlid1_1,C1,,Cichlid1_04242022_1,5,04/24/2022,04/25/2022,27.4,315,8.33
LT,1.5,Cichlid1_1,C2,,Cichlid1_04242022_1,5,04/24/2022,04/25/2022,27.4,315,8.33
LT,1.5,Cichlid1_1,D1,,Cichlid1_04242022_1,5,04/24/2022,04/25/2022,27.4,315,8.33
LT,1.5,Cichlid1_1,D2,,Cichlid1_04242022_1,5,04/24/2022,04/25/2022,27.4,315,8.33
TRC,4.5,Cichlid2_1,A1,P0_1-2,Cichlid2_04262022_1,6,04/26/2022,04/27/2022,27.2,329,8.4
AC,3.5,Cichlid2_1,A2,,Cichlid2_04262022_1,6,04/26/2022,04/27/2022,27.2,329,8.4
AC,3,Cichlid2_1,B1,,Cichlid2_04262022_1,6,04/26/2022,04/27/2022,27.2,329,8.4
AC,3,Cichlid2_1,B2,P0_1,Cichlid2_04262022_1,6,04/26/2022,04/27/2022,27.2,329,8.4
AC,3,Cichlid1_1,C1,P0_2,Cichlid1_04262022_1,6,04/26/2022,04/27/2022,27.2,329,8.4
AC,3,Cichlid1_1,C2,,Cichlid1_04262022_1,6,04/26/2022,04/27/2022,27.2,329,8.4
AC,3,Cichlid1_1,D1,,Cichlid1_04262022_1,6,04/26/2022,04/27/2022,27.2,329,8.4
AC,2.5,Cichlid1_1,D2,,Cichlid1_04262022_1,6,04/26/2022,04/27/2022,27.2,329,8.4
OBRC,1.5,Cichlid2_1,A1,,Cichlid2_04282022_1,7,04/28/2022,04/29/2022,28,341,8.44
