Key,Species,,,,,,,
LF,Labeo. fuelleborni,,,,,,,
LT,Labeo. trewavasae,,,,,,,
TRC,Troph. troph. Red Cheek,,,,,,,
AC,Astatotilapia calliptera,,,,,,,
OBRC,Troph. OB ,,,,,,,
CZ,Cyanotilapia zebroides,,,,,,,
MM,Maylandia mbenji,,,,,,,
MC,Maylandia callalnous,,,,,,, 
TOM,Tropheops olive majunga,,,,,,,
TK,Tropheops Kumwera,,,,,,,
NBL,"Otopharynx sp. ""Nova Blue Longnose""",,,,,,,
RCI,"Lethrinops sp. ""Red Cap Itungi""",,,,,,,
CE,Chilotilapra euchilus,,,,,,,
ST,"Protomelas sp. ""Steveni Taiwan"" [Taiwani Reef]",,,,,,,
CTL,Copadichromis trewavasae likoma,,,,,,,
PEL,Placidochromis electra likoma,,,,,,,
NV,Nimbochromis Venustus,,,,,,,
TP,Taeniolethrinops Praeorbitalis,,,,,,,
FR,Fossorchromis Rostratus ,,,,,,,
BN,Buccochromis Nototaenia,,,,,,,
MF,Maylandia faiaziberi maison reef,,,,,,,
LFM,Labeo. fuelleborni mbenji OB,,,,,,,
TOB,Maylandia estherae,,,,,,,
PCM,Pseudotropheus cyaneorhabdos (Maingano),,,,,,,
MD,"Metriaclima ""Daktari"" (Hai reef)",,,,,,,
LH,"Labidochromis sp. ""Hongi""",,,,,,,
MA,Melanochromis auratus ,,,,,,,
PW,"Pseudotropheus sp. ""Williamsi"" (Makonde)",,,,,,,
CD,Chindango demasanai,,,,,,,
PC,Petrotilapia chintimba,,,,,,,
IS,Iodotropheus sprengerae,,,,,,,
MWL,Melanochromis wochepa (Lumessi),,,,,,,
CAM,Copadichromus azureus Mbenji,,,,,,,
LNN,"Lethrinops sp ""Nyassae"" Nkhata Bay",,,,,,,
LA,Lichnochromis acuticeps,,,,,,,
STM,Stigmatochromis modestus,,,,,,,
MCK,Metriaclima callainos Kirondo,,,,,,,
TGL,Tropheops gracillior Lundu,,,,,,,
THI,Taeniochromis holoteaenia Itungi,,,,,,,
TFN,Taeniolethrinops furcicauda Ntekete,,,,,,,
AKM,Aulonocara koningsi Mbenji,,,,,,,
ACY,Aristochromis christyi,,,,,,,
BR,Buccochromis rhoadesii,,,,,,,
EA,Exochochromis anagenys,,,,,,,
